business_id,name,categories,city,latitude,longitude,bussines_stars,review_count,state,text,date,review_stars,cool,funny,useful,review_id
hmO76DoSlxEUPJ2NN3K9aw,Fly Away Airport Parking,"Airport Shuttles, Hotels & Travel, Transportation, Parking, Automotive",Nashville,36.1032776,-86.6677192,2.5,63,CA,"Place was cheap and convenient as advertised but they will not properly communicate their fees and additional charges with you. I was told multiple things regarding getting back late due to a flight delay and was ultimately charged for a day I shouldn't have been charged for. They would not remove the charge, at first i thought this was a decent place to park but I left very disappointed, I would look elsewhere for parking. You get what you pay for.",2021-12-28 18:32:58 UTC,2,0,0,0,p3aVbr_ZMHGI8m7yxx4jNQ
96myvjjiQW8ZFp4LrE1gXQ,Westward Look Wyndham Grand Resort and Spa,"Event Planning & Services, Restaurants, Hotels, Hotels & Travel, Venues & Event Spaces",Tucson,32.342479,-110.965218,3,228,AZ,"I've been staying at this hotel for over 20 years. Why? It is a totally unique place which incorporates the beauty of the desert. I love the way it is laid out, in a very spacious way, in a spectacular setting. During my most recent visit, I realized how it acquired its name as we watched the magnificent sunset over the Tucson Mountains and the twinkling stars start to appear from our room balcony. The common areas of the hotel are lovely, and were updated maybe about ten years ago. The room I stayed in had been updated recently and the bathroom was very nice with a luxury walk-in shower. I do wish the grounds were in better shape-- they are well-kept and beautiful but many places are in need of refurbishment. I'm just afraid if the place gets refurbished it will lose its unique character and charm. That being said, it would be wonderful to see some items changed-- carpeting on the external stairs needs replacing, the sliding glass doors need to be replaced in the rooms, etc. I could choose to stay in a new, perfectly situated but soul-less spot at hotel down the street-- one that looks the same as every other one in any other town. This hotel bills itself as ""the soul of the Southwest"" and indeed it is the soul of Tucson at least. Enjoy it while you still can.",2021-05-25 19:14:06 UTC,4,0,0,0,SqRIklmBp6UkRfR97DUxCw
x1lih3QXOz3rdRJBKoHMbw,MidAmerica St Louis Airport,"Transportation, Limos, Airports, Public Transportation, Airlines, Hotels & Travel",Mascoutah,38.5474848,-89.8157443,4,37,AZ,"This is the first time that I flew out of this airport. Frankly, I thought it was easier than the bigger airports. I felt safe, I has a great place to grab food. Prices were not outrageous. Getting through security was a breeze. Plus they have a build your own Bloody Mary bar. I would fly out of here again and again.",2021-11-05 16:15:04 UTC,4,1,0,1,fufkSfZYDnl7eRwpaAdq2w
DXDoeVULsKLb7LLyAfvuVg,Moxy Nashville Downtown,"Event Planning & Services, Hotels, Hotels & Travel",Nashville,36.161118,-86.7753746,3.5,60,CA,Nice hotel. Clean. Nothing fancy but then your right in the heart of it. If you don't like loud music from the area it might not be for you. But we couldn't hear anything in the room. Live music in the small bar as you walk in. One man show. GREAT location!!,2021-10-06 02:52:00 UTC,5,0,0,0,HzfZXUfNXJRolUwEgf6y0w
DXDoeVULsKLb7LLyAfvuVg,Moxy Nashville Downtown,"Event Planning & Services, Hotels, Hotels & Travel",Nashville,36.161118,-86.7753746,3.5,60,CA,"Excellent location!!! Walking distance to all the Broadway bars, Country Music Hall of Fame, Jonny Cash Museum, Ole & Smoky Distillery, etc. The hotel haas a very modern look with friendly staff.  Allowed us to check out an hour late free of charge. Their lockers allow you to leave your bags for awhile free of charge as well if you arrive early or leave late.  I will absolutely be back.  One small thing I think they should consider changing is the shower, there is no shower door which causes a lot of water to get on the bathroom floor. Nonetheless not a big enough issue to keep me away.",2021-03-25 13:19:51 UTC,5,0,0,2,jyXVJY2o0Et6TZO0ASYxJQ
JdR1vhCkBiTNkh_kM6Wsjg,Southwest Airlines,"Hotels & Travel, Transportation, Airlines",Tampa,27.9807435,-82.5340121,3,118,NV,"Southwest WAS great.  Now they are always running late or cancelling flights which can make people late to something important or miss special life events that you can never get back. 
I also left my headphones under the seat in front of me and they were gone by the end of the flight.  Maybe they need to install cameras to keep an eye on those who are dishonest.  This guy???",2021-10-20 17:48:03 UTC,1,0,0,0,xJC_gTydVuuqjsZqG2Y4KA
PcYxtg2aC5BmhvukcGOlfw,Beachview Inn,"Hotels, Hotels & Travel, Event Planning & Services, Vacation Rentals",Clearwater Beach,27.97252,-82.8290972,3,57,NV,"This is the most disgusting hotel we've ever stayed in. Everything was filthy and extremely outdated, there were bugs in our bed and shower, and terrible amenities and furnishings in the room. Ended up leaving at 12am before we even stayed because we found bugs in our bed after THANKFULLY checking. We were going to sleep in our cars. No room cleaning ""due to COVID"" but based on the rooms I think they are being neglected completely. The mattress had stains all over it. This place needs to be inspected for lack of hygiene standards, I think if it did it would get shut down.",2021-05-02 05:36:20 UTC,1,0,0,1,9vnByihf9WW5X3KzxMRDAg
OypYjTC0zPu_lJ_SGzV4pw,Saddlebrook Resort Tampa,"Day Spas, Beauty & Spas, Resorts, Hotels & Travel, Restaurants",Wesley Chapel,28.2269967325,-82.3284218448,2.5,124,AZ,This place is ridiculously bad.  I brought 3 guys down for a golf trip.  Big big big mistake!!!!!,2021-03-25 23:07:44 UTC,1,0,0,2,DtrwBldZRs3zz4HnfjoSDg
96myvjjiQW8ZFp4LrE1gXQ,Westward Look Wyndham Grand Resort and Spa,"Event Planning & Services, Restaurants, Hotels, Hotels & Travel, Venues & Event Spaces",Tucson,32.342479,-110.965218,3,228,AZ,"'The saddest coffee' 

Besides the view that was supplied by the grand nature of things, there is not much to say about the nature of service here. As we checked in we were greeted with frowns borrowed from the Great Depression and the smell of rotted bacon. Not even the jazz music could save the serenade of the damned here. The blazing heat outside at a whopping 110 degrees you'd think they'd have at least one complimentary bottle of water in the room. Instead you are given the option of purchasing a 20 ounce bottle of water for $5. At the Wyndham breakfast establishment it took nearly 25 min until we decided to not wait any longer for a server to help us. When you thank the lord for having a Jack in the box near by you can only imagine the tragedy that once lurked behind. The only person that was nice here was this man with white hair. 

The end",2021-06-13 18:04:53 UTC,1,0,3,3,U0W4Wkm4kp0CFdKdmPnT1A
Z6hqjf076rZHcfKQRMKUmg,Kimpton Aertson Hotel,"Venues & Event Spaces, Hotels, Event Planning & Services, Hotels & Travel",Nashville,36.1486415119,-86.798840813,3.5,83,CA,"A cute boutique hotel but doesn't have much else to offer aside from the room itself. The amenities are lacking and outrageously priced. For how much you pay for a room you would expect more. There's no microwave, no space in their mini bar fridge for your own items, no complimentary breakfast, no coffee etc. You literally pay for the room itself and then they force you into the restaurant to spend money on things cheaper hotels provide. Seems like the hotel thinks it's better than it actually is. Don't get me wrong, it's clean, staff are very kind, and it is nice but they offer less than a Holliday inn.",2021-06-16 23:22:40 UTC,2,0,0,1,gImzMM0yxgc94yyPCYqCzw
6gdAMPGsK0D_3u8h3A8H2A,The Warwick Hotel Rittenhouse Square,"Hotels & Travel, Hotels, Event Planning & Services, Caterers",Philadelphia,39.9486999512,-75.1694030762,3,350,NV,"Stayed this weekend and there was a bullet casing on the floor of our room!   We notice it in the morning and immediately told the front desk.   We went in person and told them discreetly so as not to upset anyone else in the lobby.  Manager said sorry and they would send someone to retrieve it from the floor.  Are they cleaning these rooms?!? Plus, it was a bullet casing not like a hair tie left behind... seriously, a bullet casing, glowing gold, right outside the bathroom on the carpet.   How do you miss this? Front desk did nothing either not a percentage off, not a free breakfast, nothing! The manager literally said sorry and that was it.  How clean can this place be if they missed a bullet casing on the floor? Also, once a guest finds something like that, to do nothing to make up for it ?!? Terrible.  Won't be back.",2021-07-12 00:46:46 UTC,2,0,0,1,f-KN7okzdkWb4bG2cv8dHg
KGBjEO-FilXoCK_Pk-jsvA,Penn's View Hotel,"Hotels, Hotels & Travel, Event Planning & Services",Philadelphia,39.950201,-75.142285,4,108,NV,"As others have remarked, this hotel is truly perfect as your Philly base camp. It's walking distance to SO much good stuff. It's also right off 95 so it's easy as heck to get to. There's on-site parking right next to the hotel. Be aware that it's like $30 a night; that's pretty much normal Philly prices but whew! However, it's also steps away from a large metro stop so maybe you wanna leave your car in the suburbs, just saying.

The hotel itself is quirky and cute. The beds are soft and cushy and I slept really well; the pillows were perfect. The bathrooms were nice and the water pressure was excellent. Weirdly, our bathroom had no towel bars or hooks whatsoever. But I'm not Martha Stewart so I just hung my towel on a chair.

The in-house restaurant was lively and the menu was quite intriguing, although, full disclosure, we only had drinks there.

There's three steep steps to get in and out of the hotel entrance so I had to knock a point off for lack of accessibility.",2021-09-15 14:42:07 UTC,4,0,0,0,XJZHmVSdcv7j_-m9SdDKkQ
10LguIzpeYam06-APg8iBA,Loews Vanderbilt Hotel,"Utilities, IT Services & Computer Repair, Internet Service Providers, Hotels & Travel, Event Planning & Services, Local Services, Hotels, Home Services, Professional Services",Nashville,36.1505074723,-86.8026042766,3.5,196,AZ,Super comfy room and beds. The team here is helpful and always willing to recommend fun things to do!,2021-07-28 15:56:35 UTC,5,0,0,0,UHZ3QZ4CODCAOLBkJHGlXw
iJ3A49gtUPspc7nd4Ov2HA,Escape My Room,"Local Flavor, Challenge Courses, Event Planning & Services, Active Life, Arts & Entertainment, Venues & Event Spaces, Hotels & Travel, Escape Games, Tours, Museums",New Orleans,29.9473568,-90.0679304,5,282,AZ,"My wife and I did the Inventor's Attic, Jazz Parlor, and Smuggler's Den over the course of a few days. We did Inventors attic with a group of 4 and the others as a just couple. Inventor's Attic was our favorite of the three and possibly the best escape room we have done anywhere.  The theming and production is stellar and the puzzles are pretty inventive as well. We highly recommend Inventors Attic if you can only do one. Jazz Parlor is also a very good conventional escape room while Smuggler's Den is quite experimental and weird. We would recommend Smuggler's Den only for those who have done several escape rooms and are looking for something new, but it is worth trying. Our hosts were Laszlo, Misty, and Midge and all three were excellent at giving the right amount of hints and setting the atmosphere. Special props to Laszlo who committed so well to his character and really made the day special for us and our friends. Overall one of the best escape rooms anywhere in the country and highly worth a visit if you are in New Orleans!",2021-11-12 00:40:41 UTC,5,0,0,0,RX6bdlVRk1vX17zAhXhKYA
